Title	Type	Series	Publisher	Year	ISSN	ISBN	DOI	Affiliation
Transforming the Frontier: Peace Parks and the Politics of Neoliberal Conservation in Southern Africa. Durham, NC: Duke University Press. 312 pages. ISBN 9780822354208, $24.95 paperback. by Bram BÃ¼scher, 2013.	journal-article	Review of Policy Research	Wiley	2014	1541-132X		https://doi.org/10.1111/ropr.12085	University of Waterloo
Biomolecular NMR Spectroscopy of Ribonucleic Acids	reference-entry	eLS	John Wiley & Sons, Ltd	2014		9.78047E+12	https://doi.org/10.1002/9780470015902.a0021033.pub2	University of Waterloo; Waterloo Canada
Poly(styrene)- and Poly(styrene-co-methyl methacrylate)-graft-hydrogenated natural rubber latex: Aspect on synthesis, properties, and compatibility	journal-article	Journal of Vinyl and Additive Technology	Wiley	2014	1083-5601		https://doi.org/10.1002/vnl.21412	Department of Chemical Engineering; University of Waterloo; Ontario N2L 3G1 Canada
MANY-ELECTRON THEORY OF CHARGE-TRANSFER PROCESSES IN PARTICLE-SURFACE SCATTERING	book-chapter	Electronic Processes at Solid Surfaces	WORLD SCIENTIFIC	2011		9.78981E+12	https://doi.org/10.1142/9789812831552_0005	Department of Applied Mathematics, University of Waterloo, Waterloo, Ontario N2L 3G1, Canada
Inter-organizational linkages and resource dependence	journal-article	Cogent Economics & Finance	Informa UK Limited	2014	2332-2039		https://doi.org/10.1080/23322039.2014.920269	Department of Management Sciences, University of Waterloo 200 University Avenue West Waterloo Ontario Canada N2L 3G1
Biological and nutrient responses to catchment disturbance and warming in small lakes near the Alaskan tundraâ€“taiga boundary	journal-article	The Holocene	SAGE Publications	2014	0959-6836		https://doi.org/10.1177/0959683614540955	University of Waterloo, Canada
An edge-weighted hook formula for labelled trees	journal-article	Journal of Combinatorics	International Press of Boston	2014	2156-3527		https://doi.org/10.4310/joc.2014.v5.n2.a6	Department of Combinatorics & Optimization, University of Waterloo, Ontario, Canada
Client safety in assisted living: perspectives from clients, personal support workers and administrative staff in Toronto, Canada	journal-article	Health & Social Care in the Community	Wiley	2014	0966-0410		https://doi.org/10.1111/hsc.12120	School of Public Health and Health Systems; University of Waterloo; Waterloo ON Canada
Robust NonfragileHâˆžFiltering for Uncertain T-S Fuzzy Systems with Interval Delay: A New Delay Partitioning Approach	journal-article	Abstract and Applied Analysis	Hindawi Limited	2014	1085-3375		https://doi.org/10.1155/2014/523462	Department of Applied Mathematics, Faculty of Mathematics, University of Waterloo, Waterloo, ON, Canada N2L 3G1
A Class of Pseudolikelihood Ratio Tests for Homogeneity in Exponential Tilt Mixture Models	journal-article	Scandinavian Journal of Statistics	Wiley	2014	0303-6898		https://doi.org/10.1111/sjos.12119	Department of Statistics and Actuarial Science; University of Waterloo
Can Politicians Afford Knowledge? Evidence as Affordance in New Governance Oversight Arrangements	journal-article	Administration & Society	SAGE Publications	2014	0095-3997		https://doi.org/10.1177/0095399714548271	University of Waterloo, Ontario, Canada
Development Banks of the Developing World: Nature, Origins and Consequences	journal-article	Global Policy	Wiley	2014	1758-5880		https://doi.org/10.1111/1758-5899.12161	University of Waterloo
Matching Knowledge Users with Knowledge Creators using Text Mining Techniques	proceedings-article	Proceedings of 3rd International Conference on Data Management Technologies and Applications	SCITEPRESS - Science and and Technology Publications	2014		9.7899E+12	https://doi.org/10.5220/0004942000050014	University of Waterloo, Canada
The Effect of Wallet Thickness on Spine Posture, Seat Interface Pressure, and Perceived Discomfort During Sitting	journal-article	IIE Transactions on Occupational Ergonomics and Human Factors	Informa UK Limited	2014	2157-7323		https://doi.org/10.1080/21577323.2014.962712	Department of Kinesiology, University of Waterloo, 200 University Avenue West, Waterloo, Ontario, Canada N2L 6P2
